Inf;Player;Pens Faced;Pens Saved Ratio;Sv %;MLG;Tck/90;Tck R;Shts Blckd/90;Pres C/90;Pres A/90;Poss Won/90;K Tck/90;Int/90;Clr/90;Blk/90;Conv %;Shot %;ShT/90;xSv %;xGP/90;Sprints/90;Drb/90;Dist/90;Pr passes/90;Poss Lost/90;Ps C/90;Ps A/90;Pas %;OP-KP/90;CCC;Ch C/90;Asts/90;Saves/90;Tgls/90;Tcon/90;Minutes;Mins/Gm;NP-xG/90;Goals per 90 minutes;xG/90;Con/90;xA/90;Cln/90;Appearances;Mins/Gl;OP-Crs C/90;OP-Crs A/90;OP-Cr %;Cr C/90;Crs A/90;Cr C/A;K Hdrs/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Aer A/90;Hdrs A;Based In;Division;Nation;Club;Position;Age;Potential;Wage
Lst;Sacha Boey;0;0;0;1;1.8;83;0.1;2.4;8.0;10.0;0.0;3.7;1.2;0.7;0%;38%;0.2;0;0.0;23.0;0.2;12.5;12.9;9.5;72.2;80.1;90%;1.3;2;0.1;0.1;0;1.6;1.1;1424;79.1111111111111;0.0;0.0;0.0;0.0;0.1;0.0;18;0;0.1;0.4;29;0.1;0.4;28;0.3;56;2.2;35;1.7;3.9;62;Denmark;3F Superliga;BEL;FC Midtjylland;D (RL), WB (R);33;Unknown;€24K p/w
;Amin Chiakha;0;0;0;0;0.6;58;0.1;0.9;3.3;3.5;0.0;1.2;0.3;0.1;24%;64%;1.9;0;0.0;10.4;0.9;11.5;1.2;5.4;24.6;27.5;89%;1.1;7;0.3;0.1;0;2.1;1.7;1994;86.695652173913;0.5;0.7;0.5;0.0;0.1;0.0;23;124.625;0.1;0.4;25;0.1;0.4;25;0.0;42;4.6;102;6.5;11.1;245;Denmark;3F Superliga;ALG;FC København;AM (RL), ST (C);27;Unknown;€54K p/w
;Luis Malagón;0;0;52;0;0.0;0;0.0;0.0;0.0;5.0;0.0;0.0;2.5;0.0;0%;0%;0.0;86;-2.4;0.0;0.0;4.3;1.0;1.5;13.5;14.0;96%;0.0;0;0.0;0.0;4;3.5;4.0;180;90;0.0;0.0;0.0;4.0;0.0;0.0;2;0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;MEX;FC København;GK;36;Unknown;€15.75K p/w
Rst;Kang Choon-Suk;0;0;0;0;0.7;77;0.4;0.7;3.0;8.3;0.0;2.5;1.4;0.4;6%;63%;0.7;0;0.0;21.9;0.4;11.9;7.4;7.0;39.8;45.3;88%;0.7;1;0.1;0.1;0;2.8;1.0;1226;76.625;0.0;0.1;0.0;0.0;0.1;0.0;13 (3);1226;0.1;0.1;100;0.1;0.4;33;0.2;46;2.3;31;2.6;4.9;67;Denmark;3F Superliga;KOR;Sønderjyske;D (LC);23;Unknown;€45.5K p/w
;Isaque;0;0;0;0;1.5;72;0.2;2.6;8.0;6.0;0.0;2.6;0.6;0.3;17%;59%;1.6;0;0.0;28.1;1.2;13.4;6.5;10.1;35.6;40.7;87%;2.1;20;1.0;0.1;0;2.9;0.7;1865;71.7307692307692;0.3;0.5;0.5;0.0;0.4;0.0;22 (4);186.5;0.5;0.8;59;1.8;8.2;21;0.0;21;0.2;5;0.9;1.2;24;Denmark;3F Superliga;BRA;Sønderjyske;M/AM (C);26;Unknown;€90K p/w
;Aaron Hudap;0;0;0;0;0.7;78;0.2;1.6;4.5;4.5;0.0;2.1;0.4;0.3;27%;52%;1.8;0;0.0;17.2;1.6;12.9;2.0;5.4;19.7;23.2;85%;1.4;9;0.4;0.2;0;2.9;0.8;1820;75.8333333333333;0.9;0.9;0.9;0.0;0.2;0.0;3 (14);95.7894736842105;0.2;0.4;44;0.2;0.4;44;0.2;55;3.3;66;2.7;5.9;120;Denmark;3F Superliga;AUS;Sønderjyske;M (R), AM (C), ST (C);23;Unknown;€45K p/w
Inj;Bojan Gavrilović;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0%;0%;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77%;0.0;0;0.0;0.0;0;0.0;0.0;30;30;0.0;0.0;0.0;0.0;0.0;0.0;0 (1);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;1;Denmark;3F Superliga;BIH;Sønderjyske;WB/AM (L);23;Unknown;€57K p/w
;Alisher Odilov;0;0;0;1;1.4;67;0.1;2.0;8.9;5.8;0.0;2.2;0.6;0.4;6%;44%;0.9;0;0.0;15.7;2.7;13.2;5.8;15.1;64.7;71.7;90%;3.0;12;0.8;0.5;0;1.7;1.5;1421;83.5882352941177;0.1;0.1;0.2;0.0;0.3;0.0;17;710.5;0.8;2.7;28;1.3;7.2;17;0.1;60;1.9;30;1.3;3.2;50;Denmark;3F Superliga;UZB;FC Nordsjælland;AM (RL), ST (C);32;Unknown;€5.25K p/w
;Darío Osorio;0;0;0;0;1.3;72;0.0;3.7;12.1;6.6;0.0;1.9;0.4;0.2;14%;46%;1.6;0;0.0;20.0;3.7;13.7;6.7;15.5;57.2;64.9;88%;2.3;14;1.4;0.3;0;2.0;1.0;931;49;0.4;0.5;0.4;0.0;0.4;0.0;9 (10);186.2;1.2;3.7;32;1.8;7.3;25;0.0;63;2.4;25;1.5;3.9;40;Denmark;3F Superliga;CHI;FC Midtjylland;M (R), AM (RL);29;Unknown;€16.75K p/w
BPR;Plamen Andreev;1;100;69;0;0.0;100;0.0;0.0;0.0;5.0;0.0;0.3;0.1;0.0;0%;0%;0.0;86;-0.2;0.0;0.0;6.9;0.2;0.4;18.0;18.4;98%;0.0;0;0.0;0.0;1;3.0;0.8;2160;90;0.0;0.0;0.0;0.8;0.0;0.4;21 (16);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;BUL;Sønderjyske;GK;28;Unknown;€37.5K p/w
Wnt;Oscar Buur;0;0;68;1;0.0;0;0.0;0.0;0.0;9.4;0.1;0.3;3.4;0.0;0%;0%;0.0;87;-0.3;0.1;0.0;7.1;1.1;6.6;18.0;22.5;80%;0.0;0;0.0;0.0;2;1.9;1.2;2250;90;0.0;0.0;0.0;1.2;0.0;0.5;0 (10);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;DEN;FC København;GK;27;Unknown;€34.5K p/w
;Daniel González;0;0;0;0;0.7;72;0.7;0.8;2.9;10.8;0.1;2.9;1.1;0.9;0%;25%;0.1;0;0.0;5.4;0.0;10.2;4.5;3.0;55.8;58.7;95%;0.1;0;0.0;0.0;0;1.6;1.6;1620;90;0.0;0.0;0.0;0.0;0.0;0.0;0 (18);0;0.1;0.1;100;0.1;0.1;100;0.7;60;3.1;56;2.1;5.2;94;Denmark;3F Superliga;CHI;FC Nordsjælland;D (RC);31;Unknown;€14K p/w
;Alaa Bellaarouch;0;0;100;0;0.0;0;0.0;0.0;0.0;17.0;0.0;1.0;4.0;0.0;0%;0%;0.0;95;0.7;0.0;0.0;3.7;7.0;22.0;12.0;31.0;39%;0.0;0;0.0;0.0;3;2.0;0.0;90;90;0.0;0.0;0.0;0.0;0.0;1.0;23 (1);0;0.0;0.0;0;0.0;0.0;0;0.0;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;MAR;Vejle;GK;31;Unknown;€4.3K p/w
;Juan Pizarro;0;0;0;0;0.6;83;0.5;0.7;2.7;10.3;0.2;3.7;1.2;0.6;25%;25%;0.0;0;0.0;5.4;0.0;10.2;4.2;6.0;41.3;46.7;88%;0.2;0;0.0;0.0;0;2.2;1.3;2090;83.6;0.0;0.0;0.0;0.0;0.0;0.0;23 (2);2090;0.0;0.1;0;0.0;0.1;0;0.7;71;4.1;95;1.6;5.7;133;Denmark;3F Superliga;CHI;FC København;D (C), DM;22;Unknown;€25.5K p/w
;Naatan Skyttä;0;0;0;0;1.2;69;0.2;2.1;8.2;5.0;0.0;2.4;0.6;0.2;11%;46%;1.4;0;0.0;19.2;2.5;13.3;4.5;13.6;44.0;50.3;87%;1.9;11;0.6;0.6;0;2.3;2.0;1604;66.8333333333333;0.3;0.3;0.4;0.0;0.3;0.0;23 (1);267.333333333333;0.5;1.2;43;1.5;9.1;16;0.1;17;0.6;10;2.7;3.3;59;Denmark;3F Superliga;FIN;FC København;M/AM (RC);31;Unknown;€13.75K p/w
;Juho Lähteenmäki;0;0;0;1;1.3;85;0.4;1.9;5.8;10.6;0.3;4.2;0.9;0.8;6%;38%;0.3;0;0.0;16.5;1.1;12.6;11.9;9.5;54.6;60.5;90%;1.4;7;0.3;0.1;0;2.0;1.5;1971;89.5909090909091;0.0;0.0;0.0;0.0;0.1;0.0;5 (15);1971;0.9;2.9;30;1.0;3.4;29;0.3;57;1.8;40;1.4;3.2;70;Denmark;3F Superliga;FIN;FC København;D (RL), WB (L);27;Unknown;€22K p/w
;Erik Piloyan;0;0;0;0;2.1;75;0.0;1.4;6.2;15.9;0.0;6.9;2.1;0.0;0%;0%;0.0;0;0.0;11.8;1.4;15.0;8.3;9.7;54.0;63.7;85%;1.4;1;0.7;0.0;0;1.4;0.0;130;13;0.0;0.0;0.0;0.0;0.2;0.0;0 (10);0;0.0;2.8;0;0.7;4.2;16;0.0;57;5.5;8;4.2;9.7;14;Denmark;3F Superliga;ARM;Brøndby IF;D (RC);32;Unknown;€3.6K p/w
Inj;Ivor Pandur;0;0;75;0;0.0;0;0.0;0.0;0.0;10.7;0.3;0.8;2.2;0.0;0%;0%;0.0;90;-0.3;0.0;0.0;4.1;1.3;2.8;22.2;23.7;94%;0.0;0;0.0;0.0;3;2.3;1.0;540;90;0.0;0.0;0.0;1.0;0.0;0.5;6;0;0.0;0.0;0;0.0;0.0;0;0.2;0;0.0;0;0.0;0.0;0;Denmark;3F Superliga;CRO;FC Midtjylland;GK;33;Unknown;€15.25K p/w
;Owen Wijndal;0;0;0;0;2.7;100;0.0;1.6;7.0;11.3;0.0;6.5;1.1;0.0;0%;0%;0.0;0;0.0;22.1;1.1;14.0;15.6;14.0;56.0;63.1;89%;0.5;0;0.0;0.0;0;1.6;0.0;167;41.75;0.0;0.0;0.0;0.0;0.1;0.0;2 (2);0;0.5;3.8;14;0.5;5.4;10;0.0;33;1.6;3;3.2;4.9;9;Denmark;3F Superliga;NED;FC København;D (LC), WB/M/AM (L);34;Unknown;€14.5K p/w
Wnt;Alieu Njie;0;0;0;0;2.1;68;0.0;4.0;12.8;9.2;0.0;2.7;0.9;0.0;20%;46%;1.6;0;0.0;16.6;4.9;13.3;4.1;15.4;40.6;46.7;87%;3.1;17;1.3;0.5;0;2.4;1.6;1151;50.0434782608696;0.3;0.7;0.3;0.0;0.4;0.0;13 (10);127.888888888889;1.2;4.3;27;1.2;4.4;26;0.2;42;2.3;30;3.3;5.6;72;Denmark;3F Superliga;SWE;FC København;AM (L), ST (C);28;Unknown;€25.5K p/w
