Inf;Player;Best Pos;Asking Price;Tck A;Off;KP/90;Shot/90;Unique ID;Pens Faced;Pens Saved Ratio;Sv %;MLG;Tck/90;Tck R;Shts Blckd/90;Pres C/90;Pres A/90;Poss Won/90;K Tck/90;Int/90;Clr/90;Blk/90;Conv %;Shot %;ShT/90;xSv %;xGP/90;Sprints/90;Drb/90;Dist/90;Pr passes/90;Poss Lost/90;Ps C/90;Ps A/90;Pas %;OP-KP/90;CCC;Ch C/90;Asts/90;Saves/90;Tgls/90;Tcon/90;Minutes;Mins/Gm;NP-xG/90;Goals per 90 minutes;xG/90;Con/90;xA/90;Cln/90;Appearances;Mins/Gl;OP-Crs C/90;OP-Crs A/90;OP-Cr %;Cr C/90;Crs A/90;Cr C/A;K Hdrs/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Aer A/90;Hdrs A;Based In;Division;Nation;Club;Position;Age;Potential;Wage
Wnt;Oliver Sorg;D (L);€6.25M;94;4;0.9;0.2;2000203183;0;0;0;0;1.9;79;0.3;1.7;8.0;11.6;0.0;3.0;0.7;0.5;0%;43%;0.1;0;0.0;15.9;1.3;11.2;7.9;15.9;54.9;60.6;91%;0.8;2;0.1;0.1;0;1.3;1.2;3536;88.4;0.0;0.0;0.0;0.0;0.1;0.0;40;0;0.3;1.1;25;0.4;1.5;25;0.1;35;0.8;32;1.5;2.3;92;Spain;First Division;AUT;Valencia;D/WB/M (L);26;Unknown;€36K p/w
Int;Tugra Turhan;ST (C);€19.25M;5;14;0.7;3.0;2000260099;0;0;0;0;0.2;80;0.0;0.4;2.3;2.1;0.0;0.9;0.1;0.2;16%;45%;1.3;0;0.0;6.1;1.3;10.8;1.0;15.7;26.5;29.6;89%;0.7;4;0.2;0.1;0;1.8;1.3;1476;59.04;0.3;0.5;0.4;0.0;0.1;0.0;18 (7);184.5;0.0;0.3;0;0.0;0.3;0;0.2;17;0.9;15;4.4;5.3;87;Portugal;Premier League;TUR;BRG;ST (C);26;Unknown;€50K p/w
Int;Elias Benkara;D (C);€3.9M;15;0;0.1;0.4;2000273442;0;0;0;0;0.2;47;1.0;0.7;3.0;13.3;0.1;2.7;0.8;0.5;7%;13%;0.1;0;0.0;4.0;0.1;10.0;1.7;3.3;38.4;41.7;92%;0.1;1;0.0;0.1;0;1.0;1.2;3033;86.6571428571429;0.0;0.0;0.0;0.0;0.0;0.0;15 (7);3033;0.0;0.1;50;0.0;0.1;50;1.2;79;3.6;121;1.0;4.6;154;Germany;Bundesliga;ALG;FC St. Pauli;D (C);27;Unknown;€43K p/w
Wnt;Jan Paluska;D (C);€10.5M;18;1;0.1;0.3;2000216100;0;0;0;0;0.8;78;0.9;1.2;3.6;13.4;0.2;3.2;0.8;0.7;20%;20%;0.1;0;0.0;4.5;0.1;9.9;2.3;3.6;44.4;47.8;93%;0.1;2;0.1;0.0;0;1.5;1.3;1556;74.0952380952381;0.0;0.1;0.0;0.0;0.0;0.0;17 (4);1556;0.0;0.0;0;0.0;0.0;0;0.5;63;2.3;40;1.4;3.7;64;Portugal;Premier League;CZE;BRG;D (RC);28;Unknown;€45.5K p/w
;Valon Cena;D (R);€4.1M;57;4;1.0;0.2;2000330819;0;0;0;0;1.4;70;0.7;1.8;6.8;9.2;0.0;3.4;1.3;0.4;0%;17%;0.0;0;0.0;14.1;1.1;11.4;7.3;19.2;48.1;55.0;88%;1.0;7;0.2;0.1;0;0.9;1.5;2635;71.2162162162162;0.0;0.0;0.0;0.0;0.1;0.0;32 (5);0;0.8;3.1;25;0.8;3.1;25;0.7;69;3.9;115;1.7;5.7;166;Italy;Serie A;KOS;U.S. Lecce;D (RL), WB (R);27;Unknown;€23K p/w
Int;Mamadou Sarr;D (C);€8.5M;17;0;0.2;0.4;2000107103;0;0;0;1;0.7;94;0.6;0.9;2.3;16.0;0.2;3.2;0.7;0.7;11%;44%;0.2;0;0.0;4.0;0.0;9.9;2.5;2.9;42.7;45.3;94%;0.2;0;0.0;0.0;0;1.9;0.5;2140;82.3076923076923;0.0;0.0;0.0;0.0;0.0;0.0;22 (4);2140;0.0;0.0;100;0.0;0.0;100;1.0;63;3.2;75;1.9;5.0;120;France;Ligue 1 McDonald's;SEN;OL;D (C);28;Unknown;€32.5K p/w
Int;Thiago Helguera;DM;€27.5M;57;1;1.0;0.7;2000253220;0;0;0;0;1.2;68;0.1;1.4;4.9;13.9;0.2;2.9;0.7;0.4;18%;27%;0.2;0;0.0;11.2;0.1;11.9;7.1;5.6;55.1;59.0;93%;1.0;9;0.3;0.3;0;1.7;1.2;2832;57.7959183673469;0.1;0.1;0.1;0.0;0.2;0.0;40 (9);708;0.1;0.2;33;0.1;0.3;18;0.1;55;0.8;24;0.6;1.4;44;Portugal;Premier League;URU;BRG;DM, M (C);28;Unknown;€45K p/w
nEU;Kendry Páez;AM (RC);€7.25M;49;20;2.4;2.4;2000252303;0;0;0;0;1.4;90;0.0;1.7;8.1;4.9;0.0;2.0;0.4;0.3;7%;23%;0.5;0;0.0;13.3;5.5;11.6;3.6;21.8;37.3;42.2;88%;1.9;8;0.3;0.1;0;1.3;1.2;2849;79.1388888888889;0.3;0.2;0.3;0.0;0.2;0.0;34 (2);569.8;0.7;4.0;18;0.7;4.0;17;0.0;20;0.7;23;2.9;3.6;115;Italy;Serie A;ECU;Como;M (RLC), AM (RC);27;Unknown;€74K p/w
Int;Jayson Ezeb;AM (L);€23.5M;6;19;0.9;3.1;2000169741;0;0;0;0;0.1;67;0.0;0.5;1.4;2.2;0.0;0.7;0.1;0.0;15%;48%;1.5;0;0.0;5.8;0.9;10.7;0.7;16.6;25.8;28.8;90%;0.9;10;0.4;0.0;0;1.2;1.6;2434;73.7575757575758;0.3;0.5;0.3;0.0;0.1;0.0;32 (1);187.230769230769;0.3;0.7;37;0.3;1.1;29;0.3;31;2.2;59;4.9;7.1;192;Portugal;Premier League;SWE;Famalicão;AM (L), ST (C);27;Unknown;€30K p/w
nEU;Yusuf Akçiçek;D (C);€5M;14;0;0.1;0.3;2000284138;0;0;0;0;0.4;100;1.3;0.7;2.5;16.0;0.0;3.2;0.8;0.5;0%;33%;0.1;0;0.0;3.6;0.0;10.1;2.1;3.5;45.5;47.4;96%;0.1;3;0.1;0.0;0;1.2;1.2;3182;83.7368421052632;0.0;0.0;0.0;0.0;0.0;0.0;37 (1);0;0.0;0.0;0;0.0;0.0;0;0.9;67;3.6;126;1.8;5.3;188;Italy;Serie A;TUR;Parma;D (C);28;Unknown;€94K p/w
